,accyracy,bamboo_pole,iron_pole,wood,lotus,hishi,sky,person,boat,water_sur
bamboo_pole,0,0,51.7263097624,0,44.2542227312,0,3.3209275694,0,0,0.698539937
iron_pole,0,0,0,0,0,0,0,0,0,0
wood,0,0,10.1019912579,0,4.1282175814,0,78.4264205925,0,0,7.3433705682
lotus,91.465424579,0,0.2060193479,0,91.465424579,0,0.0014331781,0,0,8.327122895
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.9604340945,0,0.0395659055,0,0,0,99.9604340945,0,0,0
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,78.3995212243,0,0,0,21.6004787757,0,0,0,0,78.3995212243
bamboo_pole,0,0,91.8620079611,0,3.228659885,0,3.9805395843,0,0,0.9287925697
iron_pole,99.5834668376,0,99.5834668376,0,0.4165331624,0,0,0,0,0
wood,0,0,2.0242757979,0,0.011633769,0,97.4405708303,0,0,0.5235196029
lotus,88.1771073531,0,1.8915611462,0,88.1771073531,0,0.3671277249,0,0,9.5642037759
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.2921958629,0,0.7078041371,0,0,0,99.2921958629,0,0,0
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,76.6275366275,0,1.9747019747,0,17.9670579671,0,3.4307034307,0,0,76.6275366275
bamboo_pole,0,0,100,0,0,0,0,0,0,0
iron_pole,98.4697272122,0,98.4697272122,0,0.7984031936,0,0.7318695941,0,0,0
wood,0,0,2.5233321811,0,0,0,97.0945193379,0,0,0.382148481
lotus,81.5786196754,0,2.1310322314,0,81.5786196754,0,0.3062601596,0,0,15.9840879337
hishi,0,0,0,0,0,0,0,0,0,0
sky,98.891384336,0,1.108615664,0,0,0,98.891384336,0,0,0
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,56.336507585,0,1.3398294762,0,32.9420883623,0,9.3815745765,0,0,56.336507585
bamboo_pole,0,0,85.5139250651,0,0.7413344019,0,3.8068523342,0,0,9.9378881988
iron_pole,95.7286432161,0,95.7286432161,0,4.0619765494,0,0.2093802345,0,0,0
wood,0,0,7.4411617426,0,0.7611417126,0,89.023535303,0,0,2.7741612419
lotus,83.2858283698,0,1.2335508145,0,83.2858283698,0,0.1164739638,0,0,15.3641468519
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.0995454377,0,0.2291390564,0,0,0,99.0995454377,0,0,0.6713155059
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,94.0463458111,0,1.0041592395,0,4.9494949495,0,0,0,0,94.0463458111
bamboo_pole,0,0,99.5098039216,0,0.4901960784,0,0,0,0,0
iron_pole,90.2919984831,0,90.2919984831,0,2.2753128555,0,5.3090633295,0,0,2.1236253318
wood,0,0,2.363095809,0,0.0517886257,0,96.9732425434,0,0,0.611873022
lotus,83.0518257273,0,2.3303164216,0,83.0518257273,0,0.4036712841,0,0,14.214186567
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.1609725091,0,0.8390274909,0,0,0,99.1609725091,0,0,0
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,60.3953026795,0,1.296311611,0,34.2395798875,0,4.068805822,0,0,60.3953026795
bamboo_pole,0,0,91.8314061917,0,1.044386423,0,7.0869078702,0,0,0.0372995151
iron_pole,98.1100611451,0,98.1100611451,0,1.222901612,0,0.3891050584,0,0,0.2779321845
wood,0,0,10.2527824939,0,0.8583286172,0,75.1933597434,0,0,13.6955291454
lotus,88.1319632877,0,0.8718672435,0,88.1319632877,0,0.023796225,0,0,10.9723732438
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.483716249,0,0.516283751,0,0,0,99.483716249,0,0,0
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,78.7206603044,0,0.1748201645,0,21.1045195311,0,0,0,0,78.7206603044
bamboo_pole,0,0,81.5186104218,0,10.0843672457,0,4.7444168734,0,0,3.6526054591
iron_pole,94.6585530764,0,94.6585530764,0,0.4507550146,0,4.7554654046,0,0,0.1352265044
wood,0,0,4.7573096594,0,0.5307343433,0,74.6405481038,0,0,20.0714078935
lotus,89.0782308539,0,0.8262495412,0,89.0782308539,0,0.0006612641,0,0,10.0948583407
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.9334910307,0,0.0665089693,0,0,0,99.9334910307,0,0,0
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,85.8261289006,0,0.1261548737,0,14.0477162257,0,0,0,0,85.8261289006
bamboo_pole,0,0,74.4664950594,0,17.9606410363,0,7.3320601179,0,0,0.2408037864
iron_pole,25.58427488,0,25.58427488,0,7.093845122,0,58.8041066914,0,0,8.5177733065
wood,0,0,0,0,0,0,0,0,0,0
